hsa-mir-494,peripheral vascular diseases
hsa-mir-551b,ovarian neoplasms
hsa-mir-1-2,astrocytoma
hsa-mir-520h,lupus vulgaris
hsa-mir-7161,allergic asthma
hsa-mir-2113,vascular system injuries
hsa-mir-1246,ovarian diseases
hsa-mir-519e,gastrointestinal stromal tumors
hsa-mir-4753,"carcinoma, urothelial"
hsa-mir-4510,"child development disorders, pervasive"
hsa-mir-7109,osteopetrosis
hsa-mir-450a-2,diabetes mellitus
hsa-let-7g,testicular neoplasms
hsa-mir-374a,"carcinoma, islet cell"
hsa-mir-3976,"carcinoma, pancreatic"
hsa-mir-548j,alcoholism
hsa-mir-4795,gallstones
hsa-mir-6798,osteosarcoma
hsa-mir-455,papillomaviridae
hsa-mir-770,congenital microtia
hsa-mir-448,"diabetes, gestational"
hsa-mir-33b,nevus
hsa-mir-10a,acute coronary syndrome
hsa-mir-1185-1,angiomyolipoma
hsa-mir-206,"leukemia, lymphoid"
hsa-mir-4488,pulmonary heart disease
hsa-mir-587,hyperglycemia
hsa-mir-762,"carcinoma, pancreatic ductal"
hsa-mir-4270,retinoblastoma
hsa-mir-4717,skin neoplasms
hsa-mir-5699,neuronal apoptosis-related diseases
hsa-mir-4257,vasculitis
hsa-mir-1185-1,carotid artery diseases
hsa-mir-98,thrombosis
hsa-mir-300,fibromyalgia
hsa-mir-27a,"cardiomyopathy, dilated"
hsa-mir-136,kidney neoplasms
hsa-mir-125a,"carcinoma, ovarian, clear cell"
hsa-mir-3945,cardiac fibrosis
hsa-mir-137,"infertility, male"
hsa-mir-3613,"carcinoma, renal cell, chromophobe"
hsa-mir-517b,embryonal testis carcinoma
hsa-mir-6880,"squamous cell carcinoma, maxillary sinus"
hsa-mir-146a,"helplessness, learned"
hsa-mir-3915,"tuberculosis, pulmonary"
hsa-mir-1304,chagas disease
hsa-mir-7109,diabetic foot
hsa-mir-491,musculoskeletal abnormalities
hsa-mir-1275,pneumonia
hsa-mir-4531,neutropenia
hsa-mir-873,myeloproliferative neoplasms
hsa-mir-1238,"cytotoxicity tests, immunologic"
hsa-mir-23b,"carcinoma, merkel cell"
hsa-mir-518c,hematologic neoplasms
hsa-mir-3170,anxiety
hsa-mir-5003,"neoplasms, germ cell and embryonal"
hsa-mir-632,non-syndromic orofacial clefts
hsa-mir-4298,dengue
hsa-mir-4500,follicular atresia
hsa-mir-517a,"scleroderma, systemic"
hsa-mir-874,pheochromocytoma
hsa-mir-3144,schizophrenia
hsa-mir-3909,"diabetes mellitus, type 1"
hsa-mir-4447,"lipid metabolism, inborn errors"
hsa-mir-505,hepatitis c
hsa-mir-302e,attention deficit disorder with hyperactivity
hsa-mir-126,uterine neoplasms
hsa-mir-569,"glomerulonephritis, iga"
hsa-mir-518d,penis carcinoma
hsa-mir-130b,diabetic peripheral neuropathy
hsa-mir-326,wounds and injuries
hsa-mir-556,pituitary neoplasms
hsa-mir-3611,lymphoma
hsa-mir-548b,"stress disorders, post-traumatic"
hsa-mir-662,oligodendroglioma
hsa-mir-429,dengue
hsa-mir-627,chronic alcohol-induced alveolar macrophage dysfunction
hsa-mir-1247,amyloidosis
hsa-mir-2682,primary ovarian insufficiency
hsa-mir-517c,pemphigus
hsa-mir-196a-1,multiple sclerosis
hsa-mir-518a-2,"thyroid carcinoma, anaplastic"
hsa-mir-3613,listeriosis
hsa-mir-4295,"influenza, human"
hsa-mir-595,"hypertension, pulmonary"
hsa-mir-10b,carcinosarcoma
hsa-mir-1184-1,"hemorrhagic fever, ebola"
hsa-mir-624,"hearing loss, central"
hsa-mir-939,feingold syndrome
hsa-mir-101-2,diabetic neuropathies
hsa-mir-1269a,neuronal apoptosis-related diseases
hsa-mir-550a-1,microvascular disease
hsa-mir-4765,lymphedema
hsa-mir-512-2,prion diseases
hsa-mir-4795,"neovascularization, pathologic"
hsa-mir-769,colorectal neoplasms
hsa-mir-3148,frailty
hsa-mir-569,invasive bladder transitional cell carcinoma
hsa-mir-4455,odontogenic tumors
