bacterial infections and mycoses,c01
bacterial infections,c01.252
bacteremia,c01.252.100
hemorrhagic septicemia,c01.252.100.375
central nervous system bacterial infections,c01.252.200
lyme neuroborreliosis,c01.252.200.450
"meningitis, bacterial",c01.252.200.500
"meningitis, escherichia coli",c01.252.200.500.400
"meningitis, haemophilus",c01.252.200.500.450
"meningitis, listeria",c01.252.200.500.500
"meningitis, meningococcal",c01.252.200.500.550
waterhouse-friderichsen syndrome,c01.252.200.500.550.800
"meningitis, pneumococcal",c01.252.200.500.600
"tuberculosis, meningeal",c01.252.200.500.800
neurosyphilis,c01.252.200.750
"endocarditis, bacterial",c01.252.300
"endocarditis, subacute bacterial",c01.252.300.407
"eye infections, bacterial",c01.252.354
"conjunctivitis, bacterial",c01.252.354.225
"conjunctivitis, inclusion",c01.252.354.225.250
ophthalmia neonatorum,c01.252.354.225.625
trachoma,c01.252.354.225.800
hordeolum,c01.252.354.400
"keratoconjunctivitis, infectious",c01.252.354.450
"tuberculosis, ocular",c01.252.354.800
"uveitis, suppurative",c01.252.354.900
panophthalmitis,c01.252.354.900.675
fournier gangrene,c01.252.377
gram-negative bacterial infections,c01.252.400
aliivibrio infections,c01.252.400.050
anaplasmataceae infections,c01.252.400.054
anaplasmosis,c01.252.400.054.050
ehrlichiosis,c01.252.400.054.160
heartwater disease,c01.252.400.054.160.400
bacteroidaceae infections,c01.252.400.110
bacteroides infections,c01.252.400.110.109
bartonellaceae infections,c01.252.400.126
bartonella infections,c01.252.400.126.100
"angiomatosis, bacillary",c01.252.400.126.100.050
cat-scratch disease,c01.252.400.126.100.150
trench fever,c01.252.400.126.100.800
bordetella infections,c01.252.400.143
whooping cough,c01.252.400.143.740
borrelia infections,c01.252.400.155
lyme disease,c01.252.400.155.569
erythema chronicum migrans,c01.252.400.155.569.200
lyme neuroborreliosis,c01.252.400.155.569.600
post-lyme disease syndrome,c01.252.400.155.569.800
relapsing fever,c01.252.400.155.644
brucellosis,c01.252.400.167
"brucellosis, bovine",c01.252.400.167.322
burkholderia infections,c01.252.400.170
glanders,c01.252.400.170.400
melioidosis,c01.252.400.170.531
campylobacter infections,c01.252.400.177
cat-scratch disease,c01.252.400.200
chlamydiaceae infections,c01.252.400.210
chlamydia infections,c01.252.400.210.210
chlamydial pneumonia,c01.252.400.210.210.124
